"Latittude","Longitude","wind_speed","mss"
"15.094883","130.50896","NaN","NaN"
"35.176785","229.38567","8.207985","0.01902826"
"22.218578","265.65558","2.9580462","0.006704833"
"10.65134","132.59651","9.617949","0.023063034"
"11.351864","263.38687","4.272379","0.009905574"
"14.660313","291.8599","3.7031727","0.008940576"
"-27.251545","39.958176","5.928327","0.015913915"
"23.439548","271.24683","0.8434125","0.0013134627"
"-28.83416","43.69487","6.753429","0.0180339"
"3.698882","122.088554","3.79689","0.009295614"
"30.853996","224.69785","5.678777","0.013513752"
"-36.031303","41.98434","4.72828","0.013100536"
"3.7144318","122.10802","4.0297427","0.009570736"
"15.126213","130.55545","9.951346","0.025272617"
"10.683565","132.64182","9.64846","0.022717256"
"11.326289","263.4353","4.5711784","0.010825655"
"35.161232","229.44997","8.128197","0.019071074"
"23.408978","271.2953","0.8503025","0.0013285909"
"22.190672","265.70593","2.8955112","0.0066438154"
"-27.246704","40.018673","6.1406684","0.016597006"
"14.629072","291.90576","4.005436","0.009895097"
"-28.827662","43.755688","7.5123663","0.019765206"
"32.79031","214.81514","1.963861","0.0038364066"
"37.552414","219.20776","3.7996325","0.008048581"
"22.176714","265.7311","2.879029","0.006580948"
"30.840088","224.75896","5.8930583","0.013972861"
"-36.024868","42.051067","4.7267084","0.013113771"
"37.549488","219.23312","4.106048","0.009030539"
"10.715779","132.68715","10.284019","0.023582114"
"15.157537","130.60196","9.948756","0.025256742"
"23.378403","271.34372","0.9329188","0.0014454187"
"11.30069","263.48376","4.2884808","0.009928467"
"35.14564","229.51425","8.222046","0.019261187"
"-27.241854","40.079105","5.5029325","0.014318152"
"-28.821182","43.816498","8.904997","0.0189449"
"14.597824","291.9516","4.1565113","0.010278092"
"32.785774","214.86893","2.1595244","0.004487152"
"3.7695508","122.17703","7.002324","0.00991976"
"22.14879","265.78143","2.8580794","0.0064241807"
"30.826136","224.82004","5.835516","0.013757166"
"37.542656","219.2923","4.4226274","0.009859247"
"35.137836","229.54639","8.281373","0.019430488"
"-36.01839","42.117783","4.6375823","0.012881299"
"32.78315","214.89984","2.2192366","0.004629981"
"16.762941","123.31106","NaN","NaN"
"10.747989","132.73248","10.114099","0.024114965"
"23.34782","271.39218","0.9056053","0.0014134202"
"15.188858","130.6485","10.173487","0.02546144"
"11.275059","263.53217","4.2955565","0.009943202"
"-28.81467","43.8773","8.137135","0.022498941"
"-27.236969","40.13952","6.1092663","0.016077964"
"22.12085","265.83173","2.9334898","0.006563517"
"32.77801","214.96033","2.3841188","0.005139335"
"30.812143","224.8811","5.7198677","0.013603437"
"37.534824","219.35991","4.2161283","0.008901161"
"-36.011875","42.184464","4.5995736","0.01279737"
"16.798464","123.35445","NaN","NaN"
"3.8204248","122.24076","NaN","NaN"
"15.217569","130.69115","NaN","NaN"
"10.780183","132.77785","10.301426","0.024857238"
"23.317215","271.44058","0.88769424","0.0013581672"
"11.249438","263.5806","4.218376","0.009748415"
"-28.80809","43.93809","8.186525","0.019173937"
"-27.232016","40.19992","6.0013957","0.0148875285"
"35.11044","229.6588","9.185737","0.02146373"
"37.527943","219.41905","4.0559936","0.008628602"
"22.092897","265.88202","2.9909015","0.0066418303"
"32.772495","215.02483","2.4861624","0.0054270457"
"-36.005318","42.25113","4.5640674","0.012721065"
"15.2462635","130.73383","10.290111","0.02578026"
"10.812366","132.82321","9.942842","0.02433841"
"11.2237625","263.629","3.8414798","0.008452545"
"23.286617","271.48898","0.8799369","0.0013564992"
"-28.801464","43.998905","8.2498865","0.022737816"
"-27.227022","40.26032","5.7916307","0.015505426"
"30.791107","224.97267","5.439921","0.012966849"
"3.8628006","122.29388","4.4482365","0.009106135"
"35.097347","229.71231","8.353529","0.01959189"
"15.259306","130.75322","10.026457","0.025429169"
"16.85172","123.419525","NaN","NaN"
"22.064941","265.93228","3.106741","0.0071498593"
"32.76694","215.08931","2.541456","0.00555872"
"-35.99871","42.31779","4.4328794","0.012371595"
"3.8797498","122.31515","4.3297653","0.009960244"
"10.844531","132.86859","10.447218","0.025197238"
"35.08293","229.77115","8.244577","0.019047806"
"-27.221977","40.320713","6.090547","0.016448393"
"11.198078","263.6774","3.8600898","0.008490035"
"30.777035","225.03368","5.2432756","0.012461653"
"23.256012","271.53738","0.95572877","0.0014644058"
"37.51509","219.52888","4.032333","0.0088120205"
"-28.793072","44.07492","7.4293184","0.019489022"
"14.465019","292.14636","3.9595954","0.0097763995"
"32.761337","215.1538","2.5644624","0.0057355734"
"-35.99207","42.384438","4.2835","0.011969745"
"22.036972","265.9825","3.0672617","0.007116121"
"16.904942","123.484665","NaN","NaN"
"10.876687","132.914","10.148341","0.024427695"
"14.441575","292.18073","4.077486","0.010126514"
"30.76292","225.09467","5.214345","0.012300716"
"35.067173","229.83533","8.54254","0.019754263"
"23.225388","271.58575","0.9776762","0.0014901871"
"-28.788","44.12052","7.412874","0.018897053"
"-27.216896","40.381104","5.4561286","0.014291524"
"11.172364","263.72574","3.8321173","0.008505259"
"15.321859","130.8464","12.9147","0.028517026"
