"latitude","longitude","specific_humidity","surface_pressure","temperature"
"34.54517","233.82768","0.010792324","101462.86","291.39258"
"-15.2815485","98.361946","0.012928555","101518.86","299.54883"
"26.43731","269.9972","0.018631527","101838.86","303.5957"
"32.33142","230.17114","0.010353634","101830.86","293.3457"
"-23.017923","345.2799","0.01028497","102710.86","294.92383"
"-25.277693","343.41763","0.009892056","102894.86","294.43945"
"-29.844006","32.089256","0.010002682","101510.86","294.39258"
"-36.464184","29.750153","0.008835385","100806.86","290.5332"
"11.810896","140.8946","0.019447872","101278.86","302.92383"
"-23.027393","345.30048","0.01028497","102710.86","294.92383"
"12.316177","287.6085","0.020638058","100950.86","300.56445"
"15.019579","262.83154","0.021103451","101126.86","303.31445"
"-17.137669","348.25894","0.011234829","102182.86","295.56445"
"14.951643","138.64224","0.019829342","101358.86","303.17383"
"18.957655","134.0521","0.019760678","101526.86","303.23633"
"-22.129063","99.95552","0.008770535","101798.86","295.50195"
"14.235357","289.89618","0.020134518","101374.86","301.9707"
"-28.973202","343.29144","0.009563992","102918.86","291.67383"
"26.408422","270.0478","0.018631527","101838.86","303.5957"
"-29.844992","32.135525","0.010002682","101510.86","294.39258"
"10.003284","140.16173","0.019280026","101262.86","303.18945"
"-17.664791","100.04671","0.010868618","101646.86","298.1582"
"36.544563","235.30684","0.010376522","101366.86","289.9707"
"33.530983","233.44287","0.010952542","101494.86","291.8457"
"23.989584","267.6061","0.019249508","101678.86","303.17383"
"34.536522","233.89325","0.010792324","101462.86","291.39258"
"-15.254297","98.40985","0.012928555","101518.86","299.54883"
"25.539162","264.76953","0.02011926","101678.86","303.18945"
"-25.29887","343.46072","0.009861538","102870.86","294.25195"
"-35.265125","26.844517","0.008789608","101110.86","291.9707"
"32.321693","230.24945","0.010353634","101830.86","293.3457"
"12.30127","287.6294","0.020638058","100950.86","300.56445"
"-23.046843","345.34274","0.010262081","102686.86","294.83008"
"25.526089","264.79614","0.02011926","101678.86","303.18945"
"23.975246","267.63174","0.019249508","101678.86","303.17383"
"-36.465626","29.8179","0.008835385","100806.86","290.5332"
"-25.309458","343.48224","0.009861538","102870.86","294.25195"
"-22.11529","99.9805","0.008770535","101798.86","295.50195"
"32.318764","230.27293","0.010353634","101830.86","293.3457"
"18.988728","134.0995","0.019814083","101534.86","303.2207"
"10.035073","140.20679","0.019280026","101262.86","303.18945"
"-35.268158","26.893728","0.008789608","101110.86","291.9707"
"14.995792","262.88202","0.021103451","101126.86","303.31445"
"14.982921","138.68842","0.019829342","101358.86","303.17383"
"-29.846264","32.19722","0.010414669","101470.86","293.9707"
"26.379528","270.0984","0.018631527","101838.86","303.5957"
"-17.161028","348.31085","0.011234829","102182.86","295.56445"
"-17.636642","100.09466","0.010868618","101646.86","298.1582"
"34.527832","233.95879","0.010792324","101462.86","291.39258"
"-28.999298","343.34656","0.009563992","102918.86","291.67383"
"-15.227017","98.45775","0.013466427","101470.86","299.83008"
"33.523693","233.50757","0.010952542","101494.86","291.8457"
"36.535095","235.37383","0.010223934","101342.86","289.31445"
"14.203768","289.94202","0.020134518","101374.86","301.9707"
"-23.388954","342.67102","0.010197232","102790.86","295.12695"
"-29.1739","340.5704","0.009373257","102958.86","292.36133"
"-17.38148","345.74356","0.011452267","102254.86","295.4082"
"-23.070715","345.39478","0.010262081","102686.86","294.83008"
"10.051062","140.22931","0.019280026","101262.86","303.18945"
"-36.467033","29.885656","0.008835385","100806.86","290.5332"
"-29.183514","340.59122","0.009373257","102958.86","292.36133"
"11.882557","140.99576","0.019295285","101270.86","302.87695"
"-29.847212","32.243492","0.010414669","101470.86","293.9707"
"-25.607353","340.8343","0.009228298","102918.86","294.08008"
"15.011596","138.73073","0.019829342","101358.86","303.17383"
"14.1721945","289.9879","0.020134518","101374.86","301.9707"
"19.019852","134.14688","0.019814083","101534.86","303.2207"
"34.519104","234.02432","0.010792324","101462.86","291.39258"
"33.51636","233.57225","0.010952542","101494.86","291.8457"
"-15.199717","98.505615","0.013466427","101470.86","299.83008"
"36.52559","235.44078","0.010223934","101342.86","289.31445"
"-29.02536","343.40167","0.009563992","102918.86","291.67383"
"-17.39896","345.78275","0.011452267","102254.86","295.4082"
"-17.608486","100.14259","0.010868618","101646.86","298.1582"
"-17.184381","348.36276","0.011234829","102182.86","295.56445"
"-23.408545","342.71484","0.010197232","102790.86","295.12695"
"-25.353878","343.57275","0.009861538","102870.86","294.25195"
"-22.067093","100.067924","0.008770535","101798.86","295.50195"
"15.02593","138.75189","0.019829342","101358.86","303.17383"
"-23.094587","345.44684","0.010262081","102686.86","294.83008"
"-35.274178","26.992134","0.008789608","101110.86","291.9707"
"10.083002","140.27438","0.019280026","101262.86","303.18945"
"-36.468395","29.953426","0.008835385","100806.86","290.5332"
"11.90644","141.02953","0.019295285","101270.86","302.87695"
"-29.205942","340.63977","0.009373257","102958.86","292.36133"
"-23.419792","342.74002","0.010197232","102790.86","295.12695"
"-17.20188","348.4017","0.011234829","102182.86","295.56445"
"32.30205","230.40596","0.01034219","101790.86","293.01758"
"-25.638475","340.89972","0.009228298","102918.86","294.08008"
"14.140648","290.0338","0.020134518","101374.86","301.9707"
"-29.848705","32.32062","0.010414669","101470.86","293.9707"
"-17.422222","345.835","0.011452267","102254.86","295.4082"
"-29.051395","343.45685","0.009598324","102894.86","291.79883"
"33.508995","233.63692","0.010952542","101494.86","291.8457"
"36.51605","235.50774","0.010223934","101342.86","289.31445"
"-15.172387","98.553474","0.013466427","101470.86","299.83008"
"19.050951","134.19429","0.019814083","101534.86","303.2207"
"34.510338","234.08983","0.010803768","101422.86","291.01758"
