,Unnamed: 0,Latittude,Longitude,pressure,wind_speed,humidity,temperature,mss
178,178,37.493095,219.71472,101366.86,3.916616,0.010376522,289.9707,0.008031048
179,179,10.94096,133.00488,101270.86,9.697752,0.019447872,303.00195,0.023213515
180,180,23.164146,271.68246,101678.86,1.1259958,0.019249508,303.17383,0.00170994
181,181,11.120861,263.82242,101094.86,3.6854384,0.019264767,303.14258,0.007815198
182,182,-28.774372,44.242058,101510.86,8.199941,0.010002682,294.39258,0.02201403
183,183,-27.206608,40.501812,101278.86,6.433706,0.012489865,294.48633,0.017527781
184,184,30.734566,225.21655,101830.86,4.8877573,0.010353634,293.3457,0.011381276
185,185,35.03554,229.9636,101550.86,8.509859,0.010922024,291.9082,0.019779846
186,186,14.37907,292.2723,101398.86,3.8278456,0.01985223,301.92383,0.009660145
187,187,4.0067005,122.47469,101190.86,7.2385507,0.018013546,302.64258,0.018626524
188,188,21.953014,266.13306,101686.86,2.8162003,0.019196102,303.20508,0.006224812
189,189,37.487053,219.76538,101366.86,3.8611686,0.010376522,289.9707,0.008633867
190,190,32.74428,215.34717,101550.86,2.4698458,0.010922024,291.9082,0.005264033
191,191,-35.971916,42.584286,101286.86,3.7685943,0.008652279,292.81445,0.010555306
193,193,10.973085,133.05034,101270.86,9.689969,0.019447872,303.00195,0.023785684
194,194,23.133503,271.7308,101678.86,1.2564629,0.019249508,303.17383,0.001952494
195,195,15.4078865,130.97461,101366.86,9.6135645,0.019562313,303.1582,0.024721613
196,196,11.095081,263.87076,101094.86,3.5253386,0.019264767,303.14258,0.007403505
197,197,-27.201393,40.56215,101278.86,6.093143,0.012489865,294.48633,0.016712045
198,198,14.34781,292.31805,101398.86,3.581596,0.01985223,301.92383,0.008471489
199,199,-28.76749,44.302826,101510.86,8.155637,0.010002682,294.39258,0.021475853
200,200,35.01968,230.02768,101550.86,8.598922,0.010922024,291.9082,0.019824566
201,201,30.720335,225.27747,101830.86,4.906862,0.010353634,293.3457,0.01150512
203,203,21.925001,266.18323,101686.86,2.8060744,0.019196102,303.20508,0.006025611
204,204,32.738514,215.4116,101550.86,2.4708555,0.010922024,291.9082,0.005201472
205,205,-35.965122,42.65088,101286.86,3.5551634,0.008652279,292.81445,0.009883799
206,206,4.0575123,122.53855,101190.86,4.529203,0.018013546,302.64258,0.010193286
207,207,23.102861,271.77914,101678.86,1.3372276,0.019249508,303.17383,0.002070359
208,208,11.005208,133.09581,101270.86,10.123607,0.019447872,303.00195,0.024459377
209,209,15.439152,131.02127,101366.86,5.6283746,0.019562313,303.1582,0.015593
210,210,11.069284,263.91907,101094.86,3.802512,0.019264767,303.14258,0.008255218
211,211,14.316556,292.36383,101398.86,3.7356315,0.01985223,301.92383,0.009177668
212,212,-27.196146,40.622494,101278.86,5.7239656,0.012489865,294.48633,0.014813325
213,213,35.0038,230.09175,101550.86,8.577605,0.010922024,291.9082,0.019735523
